Team,Championship ID,Engine Supplier,Brakes Supplier,Fuel Supplier,Materials Supplier,Battery Supplier,Advanced ERS Supplier
2,0,0,5,10,15,79,137
3,0,3,5,12,17,76,137
4,0,0,5,10,19,79,137
5,0,1,5,11,16,78,137
6,0,0,5,14,19,80,137
7,0,0,5,10,19,79,137
8,0,3,5,12,19,76,137
9,0,2,5,13,19,77,137
10,0,1,5,11,19,78,137
11,0,1,5,11,19,78,137
12,1,20,24,29,32,81,140
13,1,20,24,28,32,81,140
14,1,20,24,28,32,81,140
15,1,20,24,29,32,81,140
16,1,20,24,28,32,81,140
17,1,20,24,28,32,81,140
18,1,20,24,28,32,81,140
19,1,20,24,28,32,81,140
20,1,20,24,29,32,81,140
21,1,20,24,30,32,81,140
22,1,20,24,28,32,81,140
23,2,36,39,42,45,85,142
24,2,36,39,43,45,85,142
25,2,36,39,43,45,85,142
26,2,36,39,43,45,85,142
27,2,36,39,42,45,85,142
28,2,36,39,42,45,85,142
29,2,36,39,42,45,85,142
30,2,36,39,42,45,85,142
31,2,36,39,42,45,85,142
32,3,49,52,56,60,89,146
33,3,48,52,56,60,89,146
34,3,48,52,57,60,89,146
35,3,48,52,57,60,89,146
36,3,48,52,57,60,89,146
37,3,48,52,57,60,89,146
38,3,48,52,57,60,89,146
39,3,49,52,58,60,89,146
40,3,48,52,57,60,89,146
41,3,49,52,58,60,89,146
42,3,49,52,57,60,89,146
43,3,49,52,58,60,89,146
44,4,64,67,70,73,93,149
45,4,64,67,70,73,93,149
46,4,64,67,70,73,93,149
47,4,64,67,70,73,93,149
48,4,64,67,70,73,93,149
49,4,64,67,70,73,93,149
50,4,64,67,70,73,93,149
51,4,64,67,70,73,93,149
52,5,102,106,113,114,97,130
53,5,104,106,111,116,97,130
54,5,103,106,111,117,97,130
55,5,103,106,111,117,97,130
56,5,103,106,112,115,97,130
57,5,103,106,110,115,97,130
58,6,118,121,124,127,100,133
59,6,118,121,126,127,100,133
60,6,118,121,125,127,100,133
61,6,118,121,125,127,100,133
62,6,118,121,125,127,100,133
63,6,118,121,125,127,100,133

