Part Type,Team,TS,ACC,DEC,HSC,MSC,LSC,Reliability,Condition,Age,Performance Improvability
Brakes,2,,,1380,,,,85,85,2,10
Brakes,2,,,1370,,,,85,85,2,10
Brakes,3,,,1480,,,,85,85,2,10
Brakes,3,,,1470,,,,85,85,2,10
Brakes,4,,,1050,,,,85,85,2,10
Brakes,4,,,1040,,,,85,85,2,10
Brakes,5,,,1400,,,,85,85,2,10
Brakes,5,,,1400,,,,85,85,2,10
Brakes,6,,,1280,,,,85,85,2,10
Brakes,6,,,1280,,,,85,85,2,10
Brakes,7,,,1350,,,,85,85,2,10
Brakes,7,,,1350,,,,85,85,2,10
Brakes,8,,,1060,,,,85,85,2,10
Brakes,8,,,1050,,,,85,85,2,10
Brakes,9,,,1250,,,,85,85,2,10
Brakes,9,,,1250,,,,85,85,2,10
Brakes,10,,,1090,,,,85,85,2,10
Brakes,10,,,1090,,,,85,85,2,10
Brakes,11,,,1130,,,,85,85,2,10
Brakes,11,,,1130,,,,85,85,2,10
Brakes,12,,,610,,,,85,85,2,10
Brakes,12,,,600,,,,85,85,2,10
Brakes,13,,,650,,,,85,85,2,10
Brakes,13,,,650,,,,85,85,2,10
Brakes,14,,,700,,,,85,85,2,10
Brakes,14,,,700,,,,85,85,2,10
Brakes,15,,,350,,,,85,85,2,10
Brakes,15,,,350,,,,85,85,2,10
Brakes,16,,,550,,,,85,85,2,10
Brakes,16,,,550,,,,85,85,2,10
Brakes,17,,,600,,,,85,85,2,10
Brakes,17,,,590,,,,85,85,2,10
Brakes,18,,,520,,,,85,85,2,10
Brakes,18,,,520,,,,85,85,2,10
Brakes,19,,,610,,,,85,85,2,10
Brakes,19,,,610,,,,85,85,2,10
Brakes,20,,,520,,,,85,85,2,10
Brakes,20,,,520,,,,85,85,2,10
Brakes,21,,,630,,,,85,85,2,10
Brakes,21,,,630,,,,85,85,2,10
Brakes,22,,,450,,,,85,85,2,10
Brakes,22,,,450,,,,85,85,2,10
Brakes,23,,,400,,,,85,85,2,10
Brakes,23,,,400,,,,85,85,2,10
Brakes,24,,,410,,,,85,85,2,10
Brakes,24,,,400,,,,85,85,2,10
Brakes,25,,,450,,,,85,85,2,10
Brakes,25,,,450,,,,85,85,2,10
Brakes,26,,,50,,,,85,85,2,10
Brakes,26,,,50,,,,85,85,2,10
Brakes,27,,,120,,,,85,85,2,10
Brakes,27,,,120,,,,85,85,2,10
Brakes,28,,,380,,,,85,85,2,10
Brakes,28,,,370,,,,85,85,2,10
Brakes,29,,,100,,,,85,85,2,10
Brakes,29,,,100,,,,85,85,2,10
Brakes,30,,,330,,,,85,85,2,10
Brakes,30,,,320,,,,85,85,2,10
Brakes,31,,,90,,,,85,85,2,10
Brakes,31,,,90,,,,85,85,2,10
Brakes GT,32,,,1040,,,,85,85,2,10
Brakes GT,32,,,1040,,,,85,85,2,10
Brakes GT,33,,,880,,,,85,85,2,10
Brakes GT,33,,,880,,,,85,85,2,10
Brakes GT,34,,,980,,,,85,85,2,10
Brakes GT,34,,,980,,,,85,85,2,10
Brakes GT,35,,,880,,,,85,85,2,10
Brakes GT,35,,,880,,,,85,85,2,10
Brakes GT,36,,,1080,,,,85,85,2,10
Brakes GT,36,,,1080,,,,85,85,2,10
Brakes GT,37,,,900,,,,85,85,2,10
Brakes GT,37,,,900,,,,85,85,2,10
Brakes GT,38,,,880,,,,85,85,2,10
Brakes GT,38,,,880,,,,85,85,2,10
Brakes GT,39,,,950,,,,85,85,2,10
Brakes GT,39,,,950,,,,85,85,2,10
Brakes GT,40,,,870,,,,85,85,2,10
Brakes GT,40,,,870,,,,85,85,2,10
Brakes GT,41,,,930,,,,85,85,2,10
Brakes GT,41,,,930,,,,85,85,2,10
Brakes GT,42,,,910,,,,85,85,2,10
Brakes GT,42,,,910,,,,85,85,2,10
Brakes GT,43,,,880,,,,85,85,2,10
Brakes GT,43,,,880,,,,85,85,2,10
Brakes GT,44,,,400,,,,85,85,2,10
Brakes GT,44,,,400,,,,85,85,2,10
Brakes GT,45,,,190,,,,85,85,2,10
Brakes GT,45,,,190,,,,85,85,2,10
Brakes GT,46,,,300,,,,85,85,2,10
Brakes GT,46,,,300,,,,85,85,2,10
Brakes GT,47,,,200,,,,85,85,2,10
Brakes GT,47,,,200,,,,85,85,2,10
Brakes GT,48,,,360,,,,85,85,2,10
Brakes GT,48,,,360,,,,85,85,2,10
Brakes GT,49,,,220,,,,85,85,2,10
Brakes GT,49,,,220,,,,85,85,2,10
Brakes GT,50,,,200,,,,85,85,2,10
Brakes GT,50,,,200,,,,85,85,2,10
Brakes GT,51,,,270,,,,85,85,2,10
Brakes GT,51,,,270,,,,85,85,2,10
BrakesGET,52,,,1000,,,,85,85,2,10
BrakesGET,52,,,1000,,,,85,85,2,10
BrakesGET,53,,,700,,,,85,85,2,10
BrakesGET,53,,,700,,,,85,85,2,10
BrakesGET,54,,,710,,,,85,85,2,10
BrakesGET,54,,,710,,,,85,85,2,10
BrakesGET,55,,,930,,,,85,85,2,10
BrakesGET,55,,,930,,,,85,85,2,10
BrakesGET,56,,,1100,,,,85,85,2,10
BrakesGET,56,,,1050,,,,85,85,2,10
BrakesGET,57,,,640,,,,85,85,2,10
BrakesGET,57,,,630,,,,85,85,2,10
BrakesGET,58,,,110,,,,85,85,2,10
BrakesGET,58,,,110,,,,85,85,2,10
BrakesGET,59,,,40,,,,85,85,2,10
BrakesGET,59,,,30,,,,85,85,2,10
BrakesGET,60,,,400,,,,85,85,2,10
BrakesGET,60,,,400,,,,85,85,2,10
BrakesGET,61,,,500,,,,85,85,2,10
BrakesGET,61,,,450,,,,85,85,2,10
BrakesGET,62,,,380,,,,85,85,2,10
BrakesGET,62,,,380,,,,85,85,2,10
BrakesGET,63,,,350,,,,85,85,2,10
BrakesGET,63,,,350,,,,85,85,2,10
Engine,2,1400,,,,,,85,85,2,10
Engine,2,1400,,,,,,85,85,2,10
Engine,3,1550,,,,,,85,85,2,10
Engine,3,1550,,,,,,85,85,2,10
Engine,4,1250,,,,,,85,85,2,10
Engine,4,1240,,,,,,85,85,2,10
Engine,5,1410,,,,,,85,85,2,10
Engine,5,1410,,,,,,85,85,2,10
Engine,6,1310,,,,,,85,85,2,10
Engine,6,1300,,,,,,85,85,2,10
Engine,7,1390,,,,,,85,85,2,10
Engine,7,1380,,,,,,85,85,2,10
Engine,8,1250,,,,,,85,85,2,10
Engine,8,1240,,,,,,85,85,2,10
Engine,9,1290,,,,,,85,85,2,10
Engine,9,1290,,,,,,85,85,2,10
Engine,10,1290,,,,,,85,85,2,10
Engine,10,1280,,,,,,85,85,2,10
Engine,11,1300,,,,,,85,85,2,10
Engine,11,1300,,,,,,85,85,2,10
Engine,12,750,,,,,,85,85,2,10
Engine,12,750,,,,,,85,85,2,10
Engine,13,690,,,,,,85,85,2,10
Engine,13,690,,,,,,85,85,2,10
Engine,14,700,,,,,,85,85,2,10
Engine,14,700,,,,,,85,85,2,10
Engine,15,350,,,,,,85,85,2,10
Engine,15,350,,,,,,85,85,2,10
Engine,16,600,,,,,,85,85,2,10
Engine,16,600,,,,,,85,85,2,10
Engine,17,620,,,,,,85,85,2,10
Engine,17,620,,,,,,85,85,2,10
Engine,18,500,,,,,,85,85,2,10
Engine,18,500,,,,,,85,85,2,10
Engine,19,650,,,,,,85,85,2,10
Engine,19,650,,,,,,85,85,2,10
Engine,20,590,,,,,,85,85,2,10
