First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
Lewis,Hamilton,M,2,Equal,,UK,07/01/1979,7; 16; 44; 49; 53; 66; 77; 141; 149,0,0,67,29.44,2017,2013,0.25,1,1.5,1,0,0,19.75,19.5,19.75,19.25,19.5,19,19.8,19.5,19.8,0.88,94,44,250,84,130,88,20,12,0,3431,6,9;9;9;9;9,95,100,75,5,3,95,80,95,5,2,8,1,0,0,0,2,0,9,10,10,100,5,5,5,38,7,2,300,300,4.884722222,SingleSeaterSeries,
George,Russell,M,2,Equal,,UK,28/08/1992,5; 16; 53; 65; 66,0,0,66,11.88,2019,2016,0.25,1,1,1,0,0,16.75,16.7,16.7,16.5,17.25,15,18.75,13.5,17.5,0.6,59,63,21,0,0,0,3,1,0,0,0,n/a,40,90,90,98,4,95,80,80,1,3,2,0,0,0,0,5,0,4,5,9,83,5,10,2,37,3,50,200,300,4.129166667,SingleSeaterSeries,
Max,Verstappen,M,3,Equal,,Netherlands,30/07/1991,6; 40; 47; 49; 51; 65; 66; 77; 80; 137; 211; 275,0,0,66,22.64,2019,2016,0.25,1,1.5,1,0,0,19.75,19.75,19.75,19.75,19.75,19.95,19.95,18.5,19.95,0.4,71,33,102,8,30,2,20,10,0,948,0,8;8;8;8;8,55,90,65,50,4,100,95,95,0,2,6,3,0,5,0,8,0,0,3,2,100,5,10,3,30,3,3,300,300,4.919444444,SingleSeaterSeries,
Sergio,Perez,M,3,Equal,,Mexico,26/01/1984,1; 16; 44; 53; 295,0,0,68,9.16,2017,2015,0.1,3,1,1,0,0,16,16,19,15,17.5,13.5,15,19,16,0.57,68,55,21,0,0,0,0,0,0,92,0,6;7,95,95,90,2,4,85,75,70,4,2,6,0,0,1,0,15,0,10,2,8,90,5,3,5,31,1,2,100,100,4.083333333,SingleSeaterSeries,
Alexander,Albon,M,4,Equal,,Thailand,01/09/1990,16; 42; 96,0,0,65,12.73,2017,2016,0,,0,,0,0,14,14,14,13,14,13,18,13,14,0.57,68,55,21,0,0,0,0,0,0,92,0,6;7,40,95,90,20,4,85,75,70,4,2,6,0,0,1,0,15,0,10,2,8,65,5,5,2,27,1,2,100,100,3.527777778,SingleSeaterSeries; EnduranceSeries,
Nicholas,Latifi,M,,,,Canada,29/06/1990,16; 165,0,0,66,,,,,,,,,3,12.75,12.75,12.5,12.25,12,11.75,15,12.5,12.95,0.8,100,12,0,0,0,0,0,0,0,0,0,n/a,15,90,80,15,3,90,70,80,2,3,3,0,0,0,0,8,0,3,5,0,60,5,10,3,30,1,1,0,100,3.179166667,Any,
Charles,Leclerc,M,5,Equal,,Monaco,17/10/1991,5; 6; 22; 51; 65; 66,0,0,65,15.01,2020,2013,0.1,1,1,1,0,0,18.5,18.5,17.5,17.5,17.5,16.5,19.5,14,19.5,0.62,92,7,42,2,10,7,6,3,0,303,0,8;6;9;5;9,35,90,70,50,3,85,90,85,0,1,1,1,0,0,0,12,0,6,6,910,98,5,10,1,30,3,4,200,200,4.416666667,SingleSeaterSeries,
Carlos,Sainz,M,5,Equal,,Spain,01/09/1988,5; 16; 40; 44; 53; 198,0,0,67,13.38,2020,2015,0.1,1,1,1,0,0,17.5,17.5,17,16,18,15.5,18.5,15.5,17.5,0.83,14,14,102,0,1,0,12,3,0,267,0,6;8;7;9;6,75,95,90,10,4,80,78,80,1,2,8,3,0,5,0,2,0,7,0,3,86,5,5,4,32,1,2,100,100,4.25,SingleSeaterSeries,
Lando,Norris,M,6,Equal,,UK,19/01/1992,7; 16; 51; 65; 66; 137,0,0,65,16.76,2020,2013,0.1,3,0.5,1,0,0,16.75,16.5,16.5,17,17.5,15.5,18.75,14.5,17.5,0.42,39,22,21,0,0,0,4,0,0,49,0,4;6;8;7;8,45,95,85,35,4,85,85,82,0,4,6,1,0,5,0,2,0,3,5,4,93,5,10,2,33,1,2,100,100,4.180555556,SingleSeaterSeries,
Daniel,Ricciardo,M,3,Reserve,,Australia,10/03/1983,22; 44; 45,0,0,67,3.45,2017,2016,0,,0,,0,0,16,16,16,17,16,16.5,17,18.5,17,0.7,66,13,171,7,29,3,15,4,0,1040,0,3;5;7;5;6,90,90,80,5,3,90,95,92,4,2,8,0,0,5,0,5,0,7,0,2,95,5,5,1,30,1,3,100,100,4.166666667,SingleSeaterSeries,
Sebastian,Vettel,M,,,,Germany,03/07/1981,7; 42; 198,0,0,68,,,,,,,,,0,15,15,15,14.5,16.5,15,15,19.75,14.5,0.43,15,5,241,53,120,57,25,15,0,2985,4,9;6;7;4;10,98,85,75,5,4,90,90,95,0,3,6,0,0,11,0,8,0,2,5,9,100,5,5,1,30,5,3,300,300,3.895833333,SingleSeaterSeries,
Lance,Stroll,M,7,Equal,,Canada,19/08/1992,16; 42; 165; 309,0,0,66,9.05,2020,2013,0.1,1,0.25,3,0,3,14,14,13.5,13.5,13.5,15.5,18.5,13.5,14.75,0.76,56,27,62,0,1,1,15,10,0,67,0,6;9;7;6;8,45,95,75,10,5,100,50,65,0,4,4,0,0,10,0,2,0,3,0,2,75,5,8,3,33,1,2,0,100,3.631944444,SingleSeaterSeries,
Pierre,Gasly,M,9,Equal,,France,07/02/1990,16; 42; 65,0,0,66,10.79,2018,2016,0.1,5,0.25,3,0,0,15.5,15.5,15,15,16,14.5,18.5,14.5,15.5,0.45,56,10,47,0,1,0,10,5,0,124,0,5;5;5;5;5,55,90,75,15,4,80,70,70,1,4,3,0,0,7,0,2,0,7,4,5,80,5,5,5,31,0,0,100,100,3.888888889,SingleSeaterSeries,
Yuki,Tsunoda,M,8,Equal,,Japan,03/11/1995,16; 65; 165,0,0,64,8.81,2017,2015,0.05,10,0.15,5,0,1,12.5,12.5,12.5,13,12.75,12.5,16.5,11,13,0.56,100,33,95,0,3,0,15,10,0,170,0,9;5,25,95,85,30,4,75,70,70,1,3,2,0,0,0,0,14,0,9,1,2,80,5,15,2,34,1,2,0,100,3.229166667,SingleSeaterSeries; EnduranceSeries,
Fernando,Alonso,M,7,Equal,,Spain,29/07/1975,44; 149,0,0,68,21.4,2017,2016,0.5,1,1.5,1,0,0,18,18,19.5,16.5,18.5,17.5,16.5,19.5,18.5,0.7,66,13,171,7,29,3,15,4,0,1040,2,3;5;7;5;6,99,95,65,5,3,90,95,92,4,2,8,0,0,5,0,5,0,7,0,2,100,5,5,3,40,1,3,200,200,4.513888889,SingleSeaterSeries,
Esteban,Ocon,M,9,Equal,,France,15/01/1990,16; 42,0,0,66,6.33,2017,2014,0,,0,,0,0,15.25,15.25,15,14.5,15.75,14.5,18,14.5,15,0.4,59,45,50,0,0,0,10,4,0,136,0,n/a,65,95,75,10,4,85,82,83,0,1,2,0,0,0,0,16,0,5,7,4,78,5,5,1,30,1,5,100,100,3.826388889,SingleSeaterSeries,
Valtteri,Bottas,M,10,Equal,,Finland,27/06/1983,16; 42; 216,0,0,68,10.52,2018,2016,0.1,10,0.35,10,0,0,15.5,15.5,15.5,16,13.5,14.5,17.5,17.5,16,0.79,35,77,139,7,45,11,8,2,0,1239,0,8;8;8;8;8,80,90,95,5,3,85,75,80,1,2,6,0,0,5,0,14,0,9,10,10,75,5,5,3,35,1,2,0,100,3.930555556,SingleSeaterSeries; EnduranceSeries,
Guanyu,Zhou,M,10,Equal,,China,30/05/1993,5; 165; 216,0,0,65,7.02,2017,2016,0.1,10,0.15,10,0,2,11.85,11.85,11.85,12.75,11.5,11.5,15,10.75,12.5,0.42,85,13,,,,,,,,,,,35,85,75,35,3,60,17,56,2,5,1,0,0,0,0,4,0,3,9,5,85,5,10,3,31,1,1,0,100,3.043055556,SingleSeaterSeries,
