First Name,Last Name,Gender,Team,Nationality,DOB,Engine,Gearbox,Brakes,Front Wing,Rear Wing,Suspension,Known Components,Wages,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
James,Allison,M,2,UK,22/02/1968,19.9,19.8,19.5,19.5,19.5,19.8,86;33;32;41;40,9.38,2011,2019,3,1,3,6,3,0,0,0,10,52,5,150,34,72,40,19,9,0,1529,2,4.75
Adrian,Newey,M,3,UK,26/12/1958,19.2,19.8,18.5,19.9,19.9,19.9,30;34;36;38;42,9.06,1999,2019,3,0,9,10,0,0,0,0,20,65,5,168,8,28,15,27,15,0,921,0,4.625
Francois-Xavier,Demaison,M,4,France,22/09/1973,15,16.5,15.5,14.5,15.5,16.5,29;85;47;71,7.23,2015,2019,3,2,10,3,0,0,0,0,20,60,5,71,3,8,0,8,6,0,277,0,3.958333333
Jan,Monchaux,M,10,France,04/06/1978,16.5,16,12,16.5,17,16,86;32;44,8.44,2013,2017,2,1,3,11,1,0,3,0,10,55,5,21,0,0,0,5,2,0,10,0,4.375
James,Key,M,,UK,14/01/1972,16.5,17.5,17.5,18.5,18.5,18.5,46;41;40,,,,4,2,4,9,0,0,11,14,48,55,5,141,40,68,45,21,10,0,1658,4,3.375
Andrew,Green,M,,UK,24/06/1965,19.75,15,14.5,15,15,16.5,35;36;38,,,,5,4,11,3,0,0,0,5,10,60,5,214,11,39,16,31,16,0,970,0,3.75
Jody,Egginton,M,8,UK,28/01/1974,14.5,14.5,13.5,14.5,14,14.75,46;41;40,3.44,2013,2019,4,2,4,9,0,0,11,14,48,55,5,141,40,68,45,21,10,0,1658,4,3.375
Pat,Fry,M,9,UK,17/03/1964,17.5,18,16.5,16.5,18,18.5,86;85;66;45,7.5,2014,2019,3,1,6,7,0,0,10,0,15,58,5,215,20,77,16,45,14,0,1036,1,4
Simone,Resta,M,11,Italy,14/09/1970,17.5,18,18.5,18.5,18,19,29;34;37,5.88,2015,2017,1,0,6,9,0,1,0,20,95,60,5,237,32,97,22,35,24,0,1767,2,3.75
Enrico,Cardile,M,5,Italy,05/04/1975,17.5,16.5,15.5,19.5,19.5,18.5,30;34;46;41,7.23,2015,2019,2,2,0,3,0,0,9,15,20,55,5,270,15,50,8,50,11,0,1198,1,3.958333333
Roman,Beifort,M,12,France,08/05/1980,12.5,13,9,12,12,12.5,30;42,0.96,2010,2019,5,2,6,10,0,0,1,16,50,53,2,79,0,0,1,9,4,0,238,0,2.916666667
Frederic,Guyot,M,13,France,23/04/1979,13,13,11,12,12,12,35;41;43,1,2009,2019,5,0,7,9,0,0,4,25,25,45,5,79,0,4,0,12,3,0,189,0,3
Giorgio,Ascanelli,M,14,Italy,25/02/1968,12.5,13,11,12,12,13,86;85;36,0.98,2013,2019,1,1,5,11,3,0,1,15,10,51,5,2,0,0,0,1,1,0,6,0,2.958333333
Michiel,Gommers,M,16,Netherlands,25/06/1981,12,11.5,10,12,11.5,12,30;48;36,3.17,2013,2019,4,1,11,3,0,0,11,0,10,48,5,2,0,0,0,0,0,0,6,0,3.333333333
Mike,Coughlan,M,22,UK,06/05/1960,12,12,10,10,10,12,86;85,0.65,2013,2017,5,4,3,10,0,0,0,15,17,58,5,66,0,9,0,20,12,0,236,0,2.291666667
Jason,Somerville,M,17,UK,18/05/1977,11,12,9,11,12,11,30,0.54,2013,2019,1,0,6,7,1,0,0,6,13,65,2,79,1,1,1,20,16,0,49,0,2.083333333
Gavin,Jones,M,18,UK,25/10/1970,12,13,10,10.5,11,13,85,0.94,2005,2019,2,0,8,9,0,0,0,14,10,56,5,18,0,0,0,6,3,0,4,0,2.875
Philippe,Gautheron,M,19,France,20/11/1980,12,11.5,9,11,11,12,29;48,0.88,2010,2019,1,0,10,0,0,0,8,0,20,55,5,2,0,0,0,0,0,0,10,0,2.75
Niccolo,Olivan,M,20,Italy,26/01/1973,12,12,10,10,9,10,38,0.18,2007,2019,2,0,1,11,2,0,10,0,10,65,5,2,0,0,0,0,0,2,0,0,1.208333333
Tony,Shaw,M,21,UK,19/12/1965,12,12,9,11,11,12,48;47,0.35,2006,2019,4,0,3,8,3,0,2,12,10,55,5,2,0,0,0,0,0,2,0,0,1.625
Elliot,Dason-Barber,M,28,UK,04/10/1974,9,9,9,9,10,9,85;46,0.98,2013,2016,4,0,5,9,0,0,0,0,10,45,5,0,0,0,0,0,0,0,0,0,2.958333333
