ID,Championship,Friendly Name,DLC ID,Reward ID,Chassis Base Texture,Chassis Base Projection,Chassis Base XTile,Chassis Base XOffset,Chassis Base YTile,Chassis Base YOffset,Chassis Base Ignore For Sponsor,Chassis Detail Texture,Chassis Detail Projection,Chassis Detail XTile,Chassis Detail XOffset,Chassis Detail YTile,Chassis Detail YOffset,Chassis Detail Ignore For Sponsor,F Wing Base Texture,F Wing Base Projection,F Wing Base XTile,F Wing Base XOffset,F Wing Base YTile,F Wing Base YOffset,F Wing Base Ignore For Sponsor,F Wing Detail Texture,F Wing Detail Projection,F Wing Detail XTile,F Wing Detail XOffset,F Wing Detail YTile,F Wing Detail YOffset,F Wing Detail Ignore For Sponsor,R Wing Base Texture,R Wing Base Projection,R Wing Base XTile,R Wing Base XOffset,R Wing Base YTile,R Wing Base YOffset,R Wing Base Ignore For Sponsor,R Wing Detail Texture,R Wing Detail Projection,R Wing Detail XTile,R Wing Detail XOffset,R Wing Detail YTile,R Wing Detail YOffset,R Wing Detail Ignore For Sponsor
9,0,2,0,,GP1/Livery3/LiveryBase,Side,1,1,1,1,,GP1/Livery3/LiveryDetail,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,
10,0,3,0,,GP2/Livery4/LiveryDetail,Top,1,1,1,1,,GP2/Livery4/LiveryBase,Side,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,
11,0,4,0,,GP1/Livery5/LiveryBase,Side,1,1,1,1,,GP1/Livery5/LiveryDetail,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,
12,0,5,0,,GP2/Livery6/LiveryBase,Side,1,1,1,1,,GP2/Livery6/LiveryDetail,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,
13,0,6,0,,GP1/Livery7/LiveryBase,Side,1,1,1,1,,GP1/Livery7/LiveryDetail,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,
14,0,7,0,,GP2/Livery8/LiveryBase,Side,1,1,1,1,,GP2/Livery8/LiveryDetail,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,
15,0,8,0,,GP1/Livery9/LiveryBase,Side,1,1,1,1,,GP1/Livery9/LiveryDetail,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,
16,0,9,0,,GP2/Livery10/LiveryBase,Side,1,1,1,1,,GP2/Livery10/LiveryDetail,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,
17,0,10,0,,GP1/Livery11/LiveryBase,Side,1,1,1,1,,GP1/Livery11/LiveryDetail,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,
18,0,11,0,,GP2/Livery12/LiveryBase,Side,1,1,1,1,,GP2/Livery12/LiveryDetail,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,
19,0,12,0,,GP1/Livery13/LiveryBase,Side,1,1,1,1,,GP1/Livery13/LiveryDetail,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,
20,0,13,0,,GP2/Livery14/LiveryBase,Side,1,1,1,1,,GP2/Livery14/LiveryDetail,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,
21,0,14,0,,GP1/Livery15/LiveryBase,Side,1,1,1,1,,GP1/Livery15/LiveryDetail,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,
22,0,15,0,,GP2/Livery16/LiveryBase,Side,1,1,1,1,,GP2/Livery16/LiveryDetail,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,
23,0,16,0,,GP1/Livery17/LiveryBase,Side,1,1,1,1,,GP1/Livery17/LiveryDetail,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Top,1,1,1,1,,GP1/Shared/RearWing/RearWing1,Side,1,1,1,1,
24,0,17,0,,GP2/Livery18/LiveryBase,Side,1,1,1,1,,GP2/Livery18/LiveryDetail,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/FrontWing/FrontWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Top,1,1,1,1,,GP2/Shared/RearWing/RearWing1,Side,1,1,1,1,
