Part Type,Company Name,ID,Logo ID,Price,Fuel Efficiency,Improveability,Tyre Wear,Tyre Heating,Overcharge Zone,Starting Charge,Harvest Efficiency Min,Harvest Efficiency Max,Hybrid Gates,Power Gates,Charge Size,BatteryType,Min Boundary,Max Boundary,Starting Level Min,Starting Level Max,Tier,Team Discount,Discount Amount,Teams That Cannot Buy This,Description
Engine,Mercedes,0,1,18,10,3,NA,NA,,,,,,,,,NoseHeight = .25; RearPackage = 0,,60,150,1,,,3;5;8;9;10;11;12;13;14;15;18;19;20;21;22;23;24;25;26;27;28;29;30,
Engine,Ferrari,1,2,18,8,8,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .26,,60,150,1,,,2;3;4;6;7;8;9;13;14;16;17;18;22;23;27;28;31,
Engine,Renault,2,3,16,5,4,NA,NA,,,,,,,,,NoseHeight = .15; RearPackage = .25,,40,150,1,,,2;5;10;11;12;16;20;24;31,
Engine,Honda,3,4,15,4,6,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .15,,40,150,1,,,2;5;6;7;9;10;12;13;14;15;16;24;31,
Engine,Independent,4,9,13.5,2,5,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .3,,40,110,1,,,2;5;8;9;11;12;13;14;15;16;17;18;19;20;21;22,
ECU,Pirelli,5,1,10,NA,NA,4,2,,,,,,,,,,NoseHeight = 0; RearPackage = .15,,,1,,,,
ECU,Pirelli,6,1,10,NA,NA,2,4,,,,,,,,,,NoseHeight = .1; RearPackage = .05,,,1,,,,
ECU,Pirelli,7,1,10,NA,NA,7,0,,,,,,,,,,NoseHeight = .175; RearPackage = .25,,,1,,,,
ECU,Pirelli,8,1,4,NA,NA,3,3,,,,,,,,,,NoseHeight = .05; RearPackage = .15,,,1,,,,
ECU,Pirelli,9,1,8,NA,NA,0,7,,,,,,,,,,NoseHeight = .15; RearPackage = .25,,,1,,,,
