Name,Nationality,Logo Index,Category,Prestige,Slot Sponsoring,Team sponsoring,Upfront Value,HomeBonus Value,Bonus Difficulty,Bonus Target,Bonus Amount,Per Race Payment,Deal Length,DealTotal,DealValue,Offer Timer,Offer Cooldown,Starting Cooldown,Days After,Available in,Liaison First Name,Liaison Last Name,Gender,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair
Elf,France,315,Oil,4,3,,0,0,3,9,0.422,,7,2.95,0.421,1,8,87,0,87,James,Freeman,M,0,5,6,0,0,0
HP Tuners,UK,400,Oil,1,6,,1.393,0,,,,0.280,133,38.63,0.29,1,1,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Microsoft,UnitedStates,43,Technology,4,6,,79.491,0,,,,0.548,221,200.6,0.908,1,24,97,0,97,Bill,Gates,M,5,2,6,0,0,0
Jack & Jones,UnitedStates,47,Clothing,3,6,,75.186,0,,,,0.311,162,125.57,0.775,1,9,53,0,53,Kristopher,Middleshitch,M,0,2,9,0,0,0
Esso,UnitedStates,199,Oil,2,4,,0,0,,,,0.094,8,0.75,0.094,1,12,11,0,11,Darren,Woods,M,4,5,7,0,0,0
Vantelin,Japan,245,Appliances,3,5,,0,0,3,5,0.610,,9,5.49,0.61,1,39,66,0,66,Aguri,Suzuki,M,0,5,6,0,0,0
Mobil 1,UnitedStates,336,Oil,3,1,,0,2.2,5,3,0.700,,4,2.8,0.7,1,9,54,0,54,Bruno,Muller,M,2,3,6,0,0,0
Richard Mille,Switzerland,53,Clothing,1,4,,0,0,,,,0.096,10,0.96,0.096,1,15,23,0,23,Kyle,Malier,M,1,5,9,1,0,0
Zent,Japan,136,Technology,5,3,,0.159,1.6,1,12,0.117,,7,0.98,0.14,1,45,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Les Grappes,France,235,Food,1,6,,2.094,0,,,,0.259,226,60.63,0.268,1,7,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Allianz,Germany,1,Appliances,1,3,,1.957,0,5,5,0.709,,9,8.34,0.927,1,18,0,0,0,Oliver,Bate,M,1,3,7,0,0,0
Europol,Poland,450,Telecoms,1,5,,0.326,0,,,,0.100,18,2.13,0.118,1,20,23,0,23,Kyle,Malier,M,1,5,9,1,0,0
Petronas,Malaysia,67,Oil,3,3,,0,0,,,,0.198,8,1.58,0.198,1,45,0,0,0,Dieter,Zetsche,M,1,3,7,0,0,0
Gillette,UnitedStates,150,Appliances,2,3,,0,0,,,,0.079,8,0.63,0.079,1,2,0,0,0,James,Freeman,M,0,5,6,0,0,0
AlphaTauri,Austria,206,Alcoholic Drinks,2,2,,0,0,,,,0.166,7,1.16,0.166,1,14,0,0,0,Dietrich,Mateschitz,M,1,6,8,1,0,0
Estrella Galicia,Spain,36,Alcoholic Drinks,1,5,,0,0,,,,0.106,23,2.44,0.106,1,6,11,0,11,Ignacio,Rivera,M,0,1,3,0,0,0
Richard Mille,Switzerland,194,Clothing,3,1,,0,0,3,9,0.222,,4,0.89,0.222,1,42,0,0,0,James,Evertsen,M,3,5,8,0,0,0
Dell,UnitedStates,25,Technology,5,6,,0,0,,,,0.727,87,63.25,0.727,1,65,50,0,50,Michael,Dell,M,3,3,9,0,0,0
ABC Supply,UnitedStates,82,Telecoms,3,1,,0,0,,,,0.121,3,0.36,0.12,1,36,15,0,15,James,Freeman,M,4,2,7,0,0,0
Drugovich,Brazil,224,Automotive,1,2,,0,0,,,,0.038,7,0.27,0.039,1,19,10,0,10,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Bel & Bel,Spain,126,Technology,5,3,,0,0,1,17,0.139,,8,1.11,0.139,1,5,47,0,47,James,Freeman,M,4,2,7,0,0,0
Alpine,France,357,Automotive,5,6,,54.347,0,,,,0.800,63,104.75,1.663,1,85,0,0,0,Luca,de Meo,M,1,1,9,0,0,0
Alpine,France,397,Automotive,1,4,,0,0,,,,0.086,10,0.86,0.086,1,6,18,0,18,Luca,de Meo,M,1,1,9,0,0,0
Amazon,UnitedStates,165,Appliances,5,2,,0,0,,,,0.555,5,2.78,0.556,1,75,0,0,0,Jeff,Besoz,M,1,7,5,0,0,0
Flexbox,UnitedStates,359,Appliances,2,5,,0.033,0,,,,0.164,9,1.51,0.168,1,38,0,0,0,James,Freeman,M,0,5,6,0,0,0
Richard Mille,Switzerland,423,Clothing,4,4,,0,0,,,,0.500,13,6.5,0.5,1,28,52,0,52,Kyle,Malier,M,1,5,9,1,0,0
Michelin,France,279,Automotive,2,6,,2.045,0,,,,0.414,113,48.83,0.432,1,26,33,0,33,James,Freeman,M,0,5,6,0,0,0
Avintia,Spain,311,Automotive,5,4,,1.663,0,,,,0.860,14,13.7,0.979,1,80,124,0,124,James,Freeman,M,0,5,6,0,0,0
