ID,Staff Primary,Staff Secondary,Helmet Primary,Helmet Secondary,Helmet Tertiary,Normal UI,Highlighted UI,Pressed UI,Disabled UI,Secondary Normal UI,Secondary Highlighted UI,Secondary Pressed UI,Secondary Disabled UI,Car,Primary,Secondary,Tertiary,Trim,Livery Color 1,Livery Color 2,Livery Color 3,Livery Color 4,Livery Color 5,Livery Color 6,Livery Color 7,Livery Color 8,Livery Color 9,Livery Color 10,Light Sponsor 1,Light Sponsor 2,Light Sponsor 3,Light Sponsor 4,Dark Sponsor 1,Dark Sponsor 2,Dark Sponsor 3,Dark Sponsor 4
0,#797979,#797979,#797979,#797979,#b3b3b3,#797979,#b3b3b3,#7b7b7b,#5d5d5d,#797979,#b3b3b3,#7b7b7b,#5d5d5d,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#ffffff,#ffffff,#ffffff,#8c8c8c,#0d0d0d,#0d0d0d,#232323,#232323
1,#A0A0A0,#00B9CF,#ffffff,#00B9CF,#000000,#00B9CF,#00B9CF,#00B9CF,#00B9CF,#00B9CF,#00B9CF,#00B9CF,#00B9CF,#A0A0A0,#A0A0A0,#00B9CF,#000000,#9D0000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#02302e,#1c9e98,#11c6ac,#e74242,#9A1551,#ffffff,#e74242,#ffffff,#1c9e98,#ffffff,#02302e,#4d0f2d,#232323
2,#FFFFFF,#000D5F,#FFFFFF,#FFFFFF,#000D5F,#8D0000,#8D0000,#8D0000,#8D0000,#8D0000,#8D0000,#8D0000,#8D0000,#FFFFFF,#FFFFFF,#BC0000,#000D5F,#000000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#ffce00,#ff9000,#6d3688,#c64b8f,#a14d7c,#ffffff,#ffce00,#c64b8f,#a14d7c,#ffffff,#501f68,#5c4804,#232323
3,#ffffff,#870000,#CC0000,#ffffff,#ffffff,#870000,#ffffff,#ffffff,#ffffff,#ffffff,#ffffff,#ffffff,#ffffff,#ffffff,#ffffff,#ffffff,#870000,#000000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#0a1a29,#5568b0,#5abcd6,#690000,#d44040,#ffffff,#5abcd6,#d44040,#5568b0,#ffffff,#0a1a29,#510103,#2F2933
4,#FF0000,#ffffff,#ffffff,#000000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#E90000,#E90000,#630000,#008D2A,#000000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#690000,#f62828,#ff9000,#ff9000,#ffce00,#ffffff,#ffce00,#ff9000,#f62828,#ffffff,#510103,#712d0b,#232323
5,#FFFFFF,#FF0000,#ffffff,#FF0000,#003AFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FF0000,#003AFF,#000000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#690000,#c61a1a,#f62828,#FF6517,#fbbf2a,#ffffff,#fbbf2a,#f62828,#FF6517,#ffffff,#510103,#712d0b,#232323
6,#FF8200,#003BDC,#B7B7B7,#003BDC,#FF0000,#FF8200,#ff9000,#ff9000,#323232,#ff9000,#ff9000,#ff9000,#323232,#FF8200,#FF8200,#000000,#003BDC,#000000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#b56e1a,#da8f38,#b28800,#ff9000,#a14d7c,#ffffff,#b28800,#ffffff,#8c8c8c,#ffffff,#4d0f2d,#554007,#2F2933
7,#ffffff,#041B33,#ffffff,#041B33,#ffffff,#041B33,#041B33,#041B33,#041B33,#041B33,#041B33,#041B33,#041B33,#ffffff,#ffffff,#041B33,#ffffff,#041B33,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#173d5c,#364a91,#5abcd6,#690000,#d44040,#ffffff,#5abcd6,#d44040,#5397a9,#ffffff,#510103,#173d5c,#232323
8,#FFFFFF,#FF0000,#FFFFFF,#FF0000,#FFFFFF,#FFFFFF,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FFFFFF,#FF0000,#000000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#082600,#257b3e,#6bec97,#f3a50d,#fadb06,#ffffff,#fadb06,#6bec97,#f3a50d,#ffffff,#082600,#554007,#232323
9,#001B1A,#6D0636,#001B1A,#001B1A,#6D0636,#2A7200,#2A7200,#2A7200,#2A7200,#2A7200,#2A7200,#2A7200,#2A7200,#001B1A,#001B1A,#49EF2D,#000505,#000000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#a14d7c,#a14d7c,#c64b8f,#917127,#cfae5e,#ffffff,#cfae5e,#a14d7c,#917127,#ffffff,#4d0f2d,#554007,#232323
