First Name,Last Name,Gender,Team,Nationality,DOB,Backstory,Reputation,Race management,Financial,Loyalty,Job Security,Contract Start,Contract End,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships
Toto,Wolff,M,2,Austria,12/01/1972,Business,95,13,20,14,100,2007,2024,1,11,11,3,0,0,65,4,150,34,72,40,19,9,0,1529,2
Christian,Horner,M,3,UK,16/11/1973,Ex-Driver,64,18,13,18,67,1999,2030,1,1,9,2,0,0,65,1,168,8,28,15,27,15,0,921,0
James,Vowles,M,4,UK,20/06/1979,Ex-Engineer,70,65,70,75,90,2016,2025,1,8,10,1,0,10,65,3,71,3,8,0,8,6,0,0,0
Frederic,Vasseur,M,5,France,10/05/1957,Legal,73,15,15,11,69,2016,2025,0,1,0,0,0,10,70,4,237,32,97,22,35,24,0,1767,2
Andrea,Stella,M,6,Italy,22/02/1971,Ex-Engineer,80,80,90,75,80,2016,2025,1,3,10,0,0,0,65,5,50,0,6,0,3,1,0,200,0
Mike,Krack,M,7,Germany,22/03/1973,Business,75,15,18,15,100,2015,2026,4,12,11,0,0,3,70,5,214,11,39,16,31,16,0,970,0
Franz,Tost,M,8,Austria,20/01/1958,Ex-Driver,30,16,6,3,80,2002,2030,0,7,11,0,0,0,75,5,141,40,68,45,21,10,0,1658,4
Otmar,Szafnauer,M,9,Romania,18/12/1970,Business,78,14,18,8,100,2008,2025,4,12,11,0,0,3,70,5,214,11,39,16,31,16,0,970,0
Andreas,Seidl,M,10,Germany,06/01/1976,Ex-Engineer,80,80,90,75,80,2016,2025,1,3,10,0,0,0,65,5,50,0,6,0,3,1,0,200,0
Guenther,Steiner,M,11,Italy,18/12/1962,Ex-Driver,48,16,8,13,57,2009,2025,4,2,8,1,0,1,70,4,270,15,50,8,50,11,0,1198,1
Rene,Rosin,M,12,Italy,30/08/1977,Ex-Engineer,83,13,5,10,71,2006,2030,1,12,4,0,0,0,67,1,79,0,0,1,9,4,0,238,0
Sebastien,Philippe,M,13,France,17/08/1972,Ex-Driver,29,13,6,17,90,2006,2030,1,2,9,0,0,9,63,3,79,0,4,0,12,3,0,189,0
Francois,Sicard,M,14,France,26/11/1979,Business,46,14,15,5,100,2008,2030,1,10,4,0,0,3,68,1,2,0,0,0,1,1,0,6,0
Bob,Vavrik,M,15,CzechRepublic,15/06/1973,Ex-Engineer,9,9,13,9,83,2011,2025,0,2,11,0,0,0,65,5,2,0,0,0,0,0,0,6,0
Rob,Niessink,M,16,Netherlands,27/05/1960,Ex-Driver,61,14,15,16,45,2004,2030,0,7,9,3,0,1,75,5,50,0,9,0,20,12,0,236,0
Trevor,Carlin,M,17,UK,21/04/1967,Ex-Driver,9,6,5,11,100,2003,2030,3,1,11,0,0,0,56,3,79,1,1,1,20,16,0,49,0
Andy,Roche,M,18,UK,15/08/1965,Business,10,14,6,11,20,2004,2030,1,11,9,0,0,4,50,5,18,0,0,0,6,3,0,4,0
Adrian,Campos Jr,M,19,Spain,05/10/1988,Ex-Engineer,25,50,50,99,100,2003,2030,2,5,9,1,0,4,59,4,2,0,0,0,0,0,0,10,0
Giacomo,Ricci,M,20,Italy,26/02/1985,Ex-Engineer,95,12,9,9,52,2009,2030,0,8,7,0,0,1,64,1,2,0,0,0,0,0,2,0,0
Sander,Dorsman,M,21,Netherlands,12/12/1975,Business,98,7,11,15,100,2009,2030,2,8,5,1,0,0,69,5,2,0,0,0,0,0,2,0,0
Giacomo,Ricci,M,25,Italy,20/02/1985,Ex-Driver,45,11,8,17,50,2003,2030,1,11,7,1,0,1,57,5,0,0,0,0,0,0,0,0,0
Nicolas,Todt,M,23,France,16/05/1979,Business,34,9,5,5,76,2003,2030,2,9,11,0,0,11,58,5,19,0,0,0,5,3,0,4,0
Bob,Vavrik,M,26,CzechRepublic,15/06/1973,Ex-Engineer,74,14,7,13,100,2012,2030,1,5,4,0,0,5,57,1,0,0,0,0,0,0,0,0,0
Andreas,Jenzer,M,29,Switzerland,04/08/1966,Ex-Driver,54,6,13,8,100,2003,2030,0,10,0,0,0,8,70,2,1,0,0,0,0,0,0,6,0
Adrian,Campos Jr,M,30,Spain,05/10/1988,Ex-Engineer,25,50,50,99,99,2003,2030,5,11,8,0,0,5,57,3,2,0,0,0,2,1,0,0,0
Oliver,Oakes,M,22,UK,11/06/1988,Business,14,18,14,15,100,2003,2030,2,10,6,0,0,2,67,2,0,0,0,0,0,0,0,0,0
Rene,Rosin,M,24,Italy,11/12/1977,Business,12,10,10,12,26,2003,2030,2,7,4,3,0,1,56,4,0,0,0,0,0,0,0,0,0
Trevor,Carlin,M,27,UK,08/03/1964,Ex-Engineer,14,18,13,15,90,2003,2030,1,11,6,0,0,8,55,1,4,0,0,0,1,1,0,0,0
Oliver,Oakes,M,28,UK,11/06/1988,Ex-Driver,13,7,12,11,100,2003,2030,1,9,6,0,0,1,59,1,1,0,0,0,0,0,0,0,0
Rob,Niessink,M,31,Netherlands,27/05/1960,Ex-Driver,61,14,15,16,45,2004,2030,0,7,9,3,0,1,75,5,50,0,9,0,20,12,0,236,0
Tim,Cindric,M,32,UnitedStates,20/04/1968,Legal,12,10,10,3,80,2003,2025,2,4,4,0,0,8,62,3,0,0,0,0,0,0,0,0,0
Michael,Shank,M,33,UnitedStates,02/09/1966,Legal,12,10,10,3,80,2003,2030,2,4,4,0,0,8,62,3,0,0,0,0,0,0,0,0,0
Mike,Hull,M,34,UnitedStates,12/06/1957,Business,10,12,2,8,80,1998,2025,4,3,2,0,0,8,70,5,0,0,0,0,0,0,0,0,0
Mike,Hull,M,35,UnitedStates,12/06/1957,Business,10,12,2,8,80,1998,2025,4,3,2,0,0,8,70,5,0,0,0,0,0,0,0,0,0
Michael,Andretti,M,36,UnitedStates,11/02/1962,Ex-Engineer,12,11,20,2,80,1998,2030,2,3,4,0,0,8,61,3,0,0,0,0,0,0,0,0,0
Michael,Andretti,M,37,UnitedStates,17/02/1962,Ex-Engineer,13,7,5,12,80,1998,2030,1,5,3,0,0,8,65,1,0,0,0,0,0,0,0,0,0
Ricardo,Nault,M,38,UnitedStates,12/02/1973,Business,33,12,6,16,80,1998,2025,3,3,6,3,0,8,55,2,0,0,0,0,0,0,0,0,0
